"ID_Vaca","Edad","Lact_N","Lact_Dias","Leche_24h","Dias_Enferma","Fecha_Evento","Comentario_1","Comentario_2"
"2770","7.1","5","277","41.5","-449","27-03-24","PD","NEO+ENRO4+ANT5"
"2770","7.1","5","277","41.5","-349","5-07-24","AI","BIO4+ENRO6"
"2770","7.1","5","277","41.5","-222","9-11-24","PD","BIO4+ENRO6"
"2770","7.1","5","277","41.5","-207","24-11-24","PD","MEL4+GENT6"
"2770","7.1","5","277","41.5","-198","3-12-24","PI","NEO4+ENRO6"
"2770","7.1","5","277","41.5","-173","28-12-24","PI","MELO4+GENTA6"
"2770","7.1","5","277","41.5","32","21-07-25","AI","BIO4+ENRO6"
"2770","7.1","5","277","41.5","46","4-08-25","PI","NEO4+ANTIMAS5"
"2788","7.0","5","323","37.8","-886","30-11-22","PD","NEO3+ENRO4+MUL4"
"2788","7.0","5","323","37.8","-606","6-09-23","PI","NEO+ENRO4+LINA5"
"2805","6.9","5","256","38.0","****","4-12-21","PI","BIOF+ENRO2"
"2805","6.9","5","256","38.0","****","4-12-21","PI","BIO3+ENRO7"
"2805","6.9","5","256","38.0","****","20-09-22","PD","NEO3+MULT5"
"2805","6.9","5","256","38.0","-433","3-05-24","PD","BIO+ENR4+ME+GE5"
"2805","6.9","5","256","38.0","-343","1-08-24","AD","NE+EN4+GE5+ME4"
"2805","6.9","5","256","38.0","-240","12-11-24","AD","BIO4+ENRO6"
"2805","6.9","5","256","38.0","-144","16-02-25","AD","NEO4+ENRO6"
"2805","6.9","5","256","38.0","-93","8-04-25","AI","NEO4+ENR7+ANTI5"
"2813","6.8","5","218","43.3","****","26-07-21","AD","BIOF4+ENRO6"
"2813","6.8","5","218","43.3","****","25-03-22","AI","BIO+ENR4+MULT5"
"2813","6.8","5","218","43.3","-546","18-02-24","AD","ENR+NE4+ME+GE6"
"2813","6.8","5","218","43.3","-222","7-01-25","AD","BIO4+ENRO6"
"2826","6.8","5","295","37.3","-941","3-11-22","PD","NEO+ENR4+MUL3"
"2826","6.8","5","295","37.3","-274","31-08-24","PD","BIO4+ENRO6"
"2826","6.8","5","295","37.3","-222","22-10-24","PI","BIO3+ENRO6"
"2826","6.8","5","295","37.3","63","3-08-25","AI","BIO4+ENRO6"
"2827","6.8","4","312","0.0","-604","19-09-23","AD","NEO+ENRO+LINA4"
"2833","6.7","4","532","24.4","-453","12-07-23","AD","NEO+ENRO4    +MEL2+GENT5"
"2833","6.7","4","532","24.4","29","5-11-24","PD","NEO4+ENRO6"
"2843","6.6","5","348","42.3","****","4-04-22","AI","GENT8+MUL4+BI03"
"2843","6.6","5","348","42.3","141","28-08-25","AI","NEO4+ERNO6"
"2867","6.3","3","528","30.3","****","22-12-21","PD","NEO4+ENRO12"
"2869","6.2","3","579","25.4","-479","30-04-23","PD","BIO+ENRO4+MULT5"
"2871","6.2","3","551","24.0","-407","8-08-23","AI","NEO4+ENRO6"
"2871","6.2","3","551","24.0","-350","4-10-23","AI","LINALTEN5"
"2871","6.2","3","551","24.0","157","22-02-25","PD","NEO4+ENRO6"
"2886","6.1","4","259","32.2","-626","20-10-23","PD","BIOF+ENRO3   +ENRLA2"
"2886","6.1","4","259","32.2","-65","3-05-25","PD","MEL4+ENRO6"
"2886","6.1","4","259","32.2","29","5-08-25","PI","NEO4+ERNO5"
"2891","6.0","4","216","44.1","-781","30-06-23","AI","BIO4+ENRO6"
"2891","6.0","4","216","44.1","-568","29-01-24","AI","BIO+ENRO3"
"2891","6.0","4","216","44.1","-416","29-06-24","AI","AD           NE4+EN9+GE+ANT5"
"2891","6.0","4","216","44.1","-382","2-08-24","AI","NEO+ENR+ME4+GE5"
"2891","6.0","4","216","44.1","4","23-08-25","AD","NEO4+ENRO7"
"2891","6.0","4","216","44.1","26","14-09-25","AI","BIO4+ENRO6"
"2894","6.0","4","223","50.8","-639","12-11-23","AD","BIOF3+ENRO6"
