"ID","Nombre","Categoria","Estatus_Repro","X1","Es_Vaca","Es_Recria","Ficha","Leche_Ult","DEL_Ult","Año","Mes","Ubicacion","ID_Num"
"-203","S/N","Vaca","Vacia/Abierta","-203","TRUE","FALSE","7-02-25 PD NEO4+ENRO5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -203 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-203
"-207","S/N","Vaca","Vacia/Abierta","-207","TRUE","FALSE","24-11-24 PD MEL4+GENT6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -207 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-207
"-215","S/N","Vaca","Vacia/Abierta","-215","TRUE","FALSE","28-11-24 AD NE+EN+BIO4+ANT5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -215 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-215
"-219","S/N","Vaca","Vacia/Abierta","-219","TRUE","FALSE","15-11-24 AI NEO4+ENR+ANT6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -219 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-219
"-222","S/N","Vaca","Vacia/Abierta","-222","TRUE","FALSE","c(""9-11-24"", ""7-01-25"", ""22-10-24"") c(""PD"", ""AD"", ""PI"") c(""BIO4+ENRO6"", ""BIO4+ENRO6"", ""BIO3+ENRO6"") c(NA, NA, NA) c(NA, NA, NA) c(NA, NA, NA) c(NA, NA, NA) c(NA, NA, NA) c(NA, NA, NA) c(""MASTITIS.csv"", ""MASTITIS.csv"", ""MASTITIS.csv"") c(NA, NA, NA) c(NA, NA, NA) c(NA, NA, NA) c(NA, NA, NA) c(NA, NA, NA) -222 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-222
"-224","S/N","Vaca","Vacia/Abierta","-224","TRUE","FALSE","21-07-24 AD BIO+ENR4+NE+GE5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -224 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-224
"-231","S/N","Vaca","Vacia/Abierta","-231","TRUE","FALSE","17-09-24 PI NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -231 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-231
"-24","S/N","Vaca","Vacia/Abierta","-24","TRUE","FALSE","9-01-25 AD NEO4+ANTIMAS7 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -24 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-24
"-240","S/N","Vaca","Vacia/Abierta","-240","TRUE","FALSE","12-11-24 AD BIO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -240 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-240
"-246","S/N","Vaca","Vacia/Abierta","-246","TRUE","FALSE","20-10-24 PD NEO4+ENRO8 +ANTIMAST4 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -246 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-246
"-247","S/N","Vaca","Vacia/Abierta","-247","TRUE","FALSE","10-07-24 AD BIO+ENRO3 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -247 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-247
