,ALTITUD,P223B_1,P223B_3,P223B_7
ALTITUD,1.0,-0.12219901731140206,0.4283158807778152,-0.3500092827495892
P223B_1,-0.12219901731140206,1.0,-0.06826888745281745,-0.3095104359336792
P223B_3,0.4283158807778152,-0.06826888745281745,1.0,-0.42706509562593736
P223B_7,-0.3500092827495892,-0.3095104359336792,-0.42706509562593736,1.0
