"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS","Lact_N","Status_Repro","Casos_Mastitis","Dias_Faltan_Parto","Fecha_Secado","Tipo","Status_Final","Fecha_Nac","Edad_Meses","Categoria","Toro_Padre"
"3415","9","Alta","191","6.5","15","14.2","0","35","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3171","10","Alta","248","17.7","42.7","44.6","-0.31","2496","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3172","10","Preñ","387","17","37","36.6","0.17","7400","2","Preñ","2","-8","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3361","10","Preñ","323","13","28.5","32.6","-0.41","4288","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3366","10","Preñ","338","12","31","36.3","0.26","4368","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3390","10","Alta","226","14.3","36.3","39.4","1.65","1185","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2811","11","Vacia","258","13.44","36.5","39.7","-2.36","3068","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2867","11","Preñ","528","14.53","31","30.3","-0.15","13400","3","Preñ","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2972","11","Insem","325","19.07","40.5","41.5","-0.33","5916","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3020","11","Insem","289","21.42","42.8","40.4","-0.24","4032","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3043","11","Vacia","314","23.21","45.8","43.9","0.11","5055","0","0","6","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3066","11","Alta","236","22.44","43.7","42.6","0.28","1606","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3076","11","Preñ2","577","12.09","24.4","18","-1.03","12103","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3145","11","Preñ","312","17.39","35.7","34.7","0.18","4017","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3157","11","Preñ","370","20.09","41","39.5","-0.2","7412","2","Preñ","0","6","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3161","11","Insem","405","13.36","27.9","27.7","-0.4","6727","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3321","11","Insem","288","19.96","41.1","41.1","-0.04","3397","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3325","11","Vacia","261","16.55","33.7","32.8","0.1","2152","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3337","11","Preñ","434","14.05","26.9","24.7","-0.14","7070","1","Preñ","0","13","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3349","11","Insem","289","15.89","32.5","32.5","-0.05","2868","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3368","11","Insem","329","20.51","40","40.9","-0.22","4212","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3371","11","Preñ","317","18.13","37","35.9","0.15","3641","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2678","12","Vacia","262","19.94","41.9","40.7","0.12","2624","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2748","12","Preñ","417","18.31","37.6","33.3","-0.6","9717","5","Preñ","4","-18","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"2788","12","Insem","323","20.12","39.6","37.8","-0.58","5511","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2905","12","Vacia","257","16.16","34.6","35.3","-0.15","1418","0","0","4","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2909","12","Insem","337","21.79","44.7","44.4","0.16","6310","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2933","12","Preñ","357","18.91","38.4","39","-0.35","6525","3","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2936","12","Matar","279","10.16","27.1","30.9","-0.54","3128","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2948","12","Insem","296","21.67","43.3","42.6","0","4345","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2979","12","Insem","412","14.39","33.8","38.4","0.05","10343","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2997","12","Alta","221","20.14","41.8","40.7","0.16","889","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3027","12","Insem","367","16.27","35.6","37.2","-0.27","7031","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3035","12","Insem","274","18.88","36","35.4","-0.16","3159","0","0","3","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3064","12","Alta","216","23.86","49.4","49.6","0.56","960","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3148","12","Preñ","321","16.17","36.6","38.4","0.35","5128","2","Preñ","4","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3155","12","Preñ","468","14.57","31.9","31.7","-0.19","10361","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3328","12","Preñ","414","15.18","31.6","30.8","-0.15","6561","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3378","12","Vacia","266","18.13","36.1","35.1","-0.03","2151","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3382","12","Vacia","262","16.7","32.9","32.8","0.03","2091","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2713","13","Alta","219","23.55","47.2","45.6","0.61","922","0","0","7","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2761","13","Alta","208","24.26","46.5","43.6","-0.01","303","0","0","5","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2813","13","Alta","218","24.45","44","43.3","-0.03","905","0","0","4","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2962","13","Alta","212","24.59","49.9","47.4","0.44","904","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3097","13","Alta","195","26.09","48.9","46.4","2.35","119","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3114","13","Alta","201","19.89","38.4","36.3","0.55","160","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3126","13","Alta","216","22.3","44.4","41.3","0.81","817","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3142","13","Alta","194","24.7","48.4","47.5","-0.2","162","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3230","13","Alta","208","23.14","44.3","42.2","0.55","398","0","0","3","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3241","13","Alta","209","14.6","28.4","29.5","0","197","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3248","13","Alta","205","26.38","49","46.2","0.52","271","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3258","13","Alta","219","24.6","49.2","47","0.15","985","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3263","13","Alta","209","20.37","42.1","41.3","0.26","274","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3264","13","Alta","209","17.4","34.1","34.4","-0.01","249","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2686","14","Insem","278","22.81","42.4","41.5","-0.09","3708","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2691","14","Insem","351","25.61","49.8","48.3","0.4","7117","0","0","5","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2826","14","Insem","295","19.1","38.7","37.3","-0.27","3805","0","0","4","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2924","14","Preñ","374","15.12","29.7","29.3","-0.21","5660","4","Preñ","2","-19","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3018","14","Preñ","321","21.84","44.5","41.9","0.29","5296","3","Preñ","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3028","14","Preñ","390","15.79","31.6","30.5","0.55","7107","3","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3073","14","Insem","366","21.8","42.2","39.4","0.38","6665","0","0","5","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3086","14","Insem","293","20.44","39.6","39.5","-0.13","3915","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3124","14","Preñ","355","17.81","37","37.2","-0.12","6480","2","Preñ","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3154","14","Preñ","329","18.29","36.5","36.3","-0.28","5236","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3165","14","Vacia","326","25.78","50.5","48","0.69","5923","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3166","14","Preñ","353","20.02","38.3","36.9","-0.02","6129","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3168","14","Preñ","362","18.68","36.8","35.2","0.31","5513","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3170","14","Insem","317","21.14","39.6","39.1","0.65","4619","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3177","14","Insem","279","23.6","44.2","41.5","0.06","3403","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
