"ID_Vaca","Grupo","DIM","Leche_Total","E_Prod","E_Seca","Fecha_Secado","Dias_Seca","Toro_Seca","Lact_N","E_Gest","Fecha_Insem","Toro_Ins","Tipo","Status_Repro","Status_Final","Fecha_Nac","Edad_Meses","Categoria","Toro_Padre"
"2833","4","532","24.5","Preñ2","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2871","4","551","25.4","Matar","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2942","4","398","38.1","Insem","0","0","0","0","0","0","1-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"2950","4","408","35","Preñ","0","0","0","0","4","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"2995","4","549","26.8","Preñ2","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3023","4","410","37.9","Preñ2","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3047","4","537","33.1","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3117","4","394","38.3","Insem","0","0","0","0","0","0","1-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3134","4","405","34.2","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3143","4","412","36.5","Preñ2","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3144","4","471","24.2","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3163","4","401","34.3","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3169","4","439","33.3","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3367","6","217","31.6","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3374","6","240","35.3","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3392","6","210","27.9","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3394","6","232","37.6","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3396","6","212","28","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3402","6","233","28.1","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3403","6","231","40.5","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3404","6","224","32","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3405","6","226","30.2","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3411","6","207","31.7","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3412","6","204","38.3","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3413","6","199","26.6","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
